Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x679ce70d075df982e485d1662ab56167933f5d8a4104e8b27b5637f82b8bb5c3","Success","Multi Swap","47592676","2025-03-19 04:48:22","0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57","Paraswap v5: Augustus Swapper","0xD541e6cfc610def494FC36CcE99a5DBDf84111F6","","0.028355023263607068","$54.74",""
"0x679ce70d075df982e485d1662ab56167933f5d8a4104e8b27b5637f82b8bb5c3","Success","Multi Swap","47592676","2025-03-19 04:48:22","0x62Fcb3C1794FB95BD8B1A97f6Ad5D8a7e4943a1e","","0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57","Paraswap v5: Augustus Swapper","0.028355023263607068","$54.74",""
"0x281a88a0e0b9592b30d15d75b42be96e754cf85646a77af4656f2f25f5c2038c","Success","0x2213bc0b","47592675","2025-03-19 04:48:19","0x4C6F446dD88fD1be8B80D2940806002777dc12a2","","0xD0e226f674bBf064f54aB47F42473fF80DB98CBA","","0.000513400964791933","$0.99",""
"0x281a88a0e0b9592b30d15d75b42be96e754cf85646a77af4656f2f25f5c2038c","Success","0x2213bc0b","47592675","2025-03-19 04:48:19","0xb125aa15Ad943D96e813E4A06d0c34716F897e26","","0x4C6F446dD88fD1be8B80D2940806002777dc12a2","","0.000513400964791933","$0.99",""
"0x578bf67cbf82e4ca18f2af321d85a3d2c39e438fc8a95bd9dd4ef15988d90eec","Success","0x53795d4c","47592674","2025-03-19 04:48:16","0xDF3eB0D8473Df117afc484fe9b81c59e885E4F67","PancakeSwap V2: ETH-OWL","0x531FEbfeb9a61D948c384ACFBe6dCc51057AEa7e","","0.000832568684887673","$1.61",""
"0x578bf67cbf82e4ca18f2af321d85a3d2c39e438fc8a95bd9dd4ef15988d90eec","Success","0x53795d4c","47592674","2025-03-19 04:48:16","0x531FEbfeb9a61D948c384ACFBe6dCc51057AEa7e","","0xDF3eB0D8473Df117afc484fe9b81c59e885E4F67","PancakeSwap V2: ETH-OWL","0.002065999375739912","$3.99",""
"0x6ae11fb995a254ec852e0496596ea13c7b1bdcd80ca05ceb927343a5fa1c213d","Success","0x77777737","47592670","2025-03-19 04:48:04","0x0e79965061804b830069D6789fdeD3F4C3313807","","0x1CC4504a0d5254167520E2E36c35c82a932816Fd","","0.012110421795349753","$23.38",""
"0x6ae11fb995a254ec852e0496596ea13c7b1bdcd80ca05ceb927343a5fa1c213d","Success","0x77777737","47592670","2025-03-19 04:48:04","0x62Fcb3C1794FB95BD8B1A97f6Ad5D8a7e4943a1e","","0x0e79965061804b830069D6789fdeD3F4C3313807","","0.012110421795349753","$23.38",""
"0x39a220b8d478f71491fef9aef5906c36c010aa97de87d0244d7285798c657db0","Success","0x7547379a","47592669","2025-03-19 04:48:01","0xD0e226f674bBf064f54aB47F42473fF80DB98CBA","","0x22cA19F13c5979d93BbE7B082E8E084a6c7b2511","","1.249907136238311415","$2,412.92",""
"0x4ce9ebbfafc5c29bbf7e898685057310401e41e8a3c9d79815bcbaebe5e88772","Success","Execute","47592668","2025-03-19 04:47:58","0x0f338Ec12d3f7C3D77A4B9fcC1f95F3FB6AD0EA6","","0xaf30736465dec110EC6aB68d3A22e4B24968401F","","1.228906356742368191","$2,372.38",""
"0x4907f5816a6770b1014304562e8a44ff4309f021431c4b2f38a01aa9c3617c23","Success","Execute","47592668","2025-03-19 04:47:58","0xD0e226f674bBf064f54aB47F42473fF80DB98CBA","","0xaf30736465dec110EC6aB68d3A22e4B24968401F","","2.860565854700070581","$5,522.27",""
"0x31064e1f47e7e65fe25e70e3ddd817d594136c3aec4864be3b2e72eab8503283","Success","Execute","47592667","2025-03-19 04:47:55","0x62Fcb3C1794FB95BD8B1A97f6Ad5D8a7e4943a1e","","0xaf30736465dec110EC6aB68d3A22e4B24968401F","","0.247793058834200737","$478.36",""
"0x9e8a24db33b28eb7947d62c92d15b73655a265ce982986b3ae374210325a204e","Success","Multi Swap","47592666","2025-03-19 04:47:52","0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57","Paraswap v5: Augustus Swapper","0x62Fcb3C1794FB95BD8B1A97f6Ad5D8a7e4943a1e","","0.1","$193.05",""
"0x9e8a24db33b28eb7947d62c92d15b73655a265ce982986b3ae374210325a204e","Success","Multi Swap","47592666","2025-03-19 04:47:52","0x45D11F7EbBc79F18467dd534e2865d0DBA6aA435","","0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57","Paraswap v5: Augustus Swapper","0.1","$193.05",""
"0x08d4448c10aec1b1ab9650e18890a0bcdfb16a05fabbf789820e8118e55536fd","Success","Transfer","47592665","2025-03-19 04:47:49","0xe2fc31F816A9b94326492132018C3aEcC4a93aE1","Binance: Hot Wallet 7","0xEe1A2a5606DDAABc7BD886292A63697e26637457","","0.02797843","$54.01",""
"0x49537c6db443b7ecd0adda86ea1cf14269ef214d9dae2f1ec3789b70c8906e56","Error in Internal Txn : execution reverted","Receive Request V2Signed","47592664","2025-03-19 04:47:46","0x44487a445a7595446309464A82244B4bD4e325D5","","0xA0BC0Bd3Fb15F2960dBD0179F966B370F672Cdd8","","0.639770537150383486","$1,235.07",""
"0x49537c6db443b7ecd0adda86ea1cf14269ef214d9dae2f1ec3789b70c8906e56","Error in Internal Txn : execution reverted","Receive Request V2Signed","47592664","2025-03-19 04:47:46","0x5Aa5f7f84eD0E5db0a4a85C3947eA16B53352FD4","","0x44487a445a7595446309464A82244B4bD4e325D5","","0.639770537150383486","$1,235.07",""
"0x49537c6db443b7ecd0adda86ea1cf14269ef214d9dae2f1ec3789b70c8906e56","Error in Internal Txn : execution reverted","Receive Request V2Signed","47592664","2025-03-19 04:47:46","0x5Aa5f7f84eD0E5db0a4a85C3947eA16B53352FD4","","0xb8f275fBf7A959F4BCE59999A2EF122A099e81A8","","0.0004","$0.77",""
"0x4134580d4d09a2a69135e7086861060dab8a50048ce070da34eaf4c702e7e2bc","Success","Brrrrrrrrrrrrr Z2826820544","47592664","2025-03-19 04:47:46","0xBe141893E4c6AD9272e8C04BAB7E6a10604501a5","","0x802b65b5d9016621E66003aeD0b16615093f328b","","1.036501883634406477","$2,000.95",""
"0x603bfef263e21f641ba925c1cac3c9bd70fb9c919156276924baa22e76337070","Success","Brrrrrrrrrrrrr Z2826820544","47592664","2025-03-19 04:47:46","0xa60a504d92a1C95bda729C3F745B361cA822d6dd","","0x802b65b5d9016621E66003aeD0b16615093f328b","","0.460290822386117346","$888.58",""
"0xb9f4930a432756a96822a13089aceb00222111138a3c0ee2be85979b90b6835a","Success","0x02f7f111","47592662","2025-03-19 04:47:40","0x2a57859C7f025968C7A13470EF72fc202074F24b","","0x9F599F3D64a9D99eA21e68127Bb6CE99f893DA61","","0.003163658762613931","$6.11",""
"0xb9f4930a432756a96822a13089aceb00222111138a3c0ee2be85979b90b6835a","Success","0x02f7f111","47592662","2025-03-19 04:47:40","0xF9878A5dD55EdC120Fde01893ea713a4f032229c","","0x2a57859C7f025968C7A13470EF72fc202074F24b","","0.004627399720544414","$8.93",""
"0xa57005da6d6f4bed357a6503d96882e35c17e7c1fe044644cfbc7d3eac94479d","Success","0x09b45612","47592661","2025-03-19 04:47:37","0xd5Babf99197bD045c85416ce114B6A4fe6E55340","","0x9F599F3D64a9D99eA21e68127Bb6CE99f893DA61","","0.123106793656469804","$237.66",""
"0xa57005da6d6f4bed357a6503d96882e35c17e7c1fe044644cfbc7d3eac94479d","Success","0x09b45612","47592661","2025-03-19 04:47:37","0x6F2D16692d111602Ca5d2FA642a1cdAbfA1f3f80","","0xd5Babf99197bD045c85416ce114B6A4fe6E55340","","0.123106793656469804","$237.66",""
"0x26ba218fef1963e771bc0ea8818ae49db6f184148502f2adff61eb09d2b01bfc","Success","0x0cafb2da","47592661","2025-03-19 04:47:37","0x000000000008D5760657dD664c7096897E1AE801","","0x517F28453B947bA01fE6a6B193294D4576528826","","0.014859610256308762","$28.69",""